uniqueId,fullName,courseName,department,number,creditHours,status,isReserved,instructionMode,instructors,schedule,flags,core,url,registerURL,description,semester,scrapedAt
"370","ARI 320K DESIGN III-INTERIORS","DESIGN III-INTERIORS","ARI","320K","3","OPEN","true","In Person","[{""fullName"":""MCDONNOLD, AMY K"",""firstName"":""AMY"",""lastName"":""MCDONNOLD"",""middleInitial"":""K""}]","[{""days"":""MW"",""hours"":""8:00 a.m.-12:30 p.m."",""location"":""GOL 3.112""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00370/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"375","ARI 221K VISUAL COMMUNICATION III","VISUAL COMMUNICATION III","ARI","221K","2","OPEN","true","In Person","[{""fullName"":""SMITH, MARLA"",""firstName"":""MARLA"",""lastName"":""SMITH""},{""fullName"":""NAVASAITYTE, RASA"",""firstName"":""RASA"",""lastName"":""NAVASAITYTE""},{""fullName"":""MCCOY, PAUL GERMAINE"",""firstName"":""PAUL"",""lastName"":""MCCOY"",""middleInitial"":""GERMAINE""}]","[{""days"":""TTH"",""hours"":""2:00 p.m.-2:30 p.m."",""location"":""WMB 5.114""},{""days"":""TTH"",""hours"":""2:30 p.m.-5:00 p.m."",""location"":""WMB 5.102""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00375/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"380","ARI 324K ENVIRONMENTAL CONTROLS I","ENVIRONMENTAL CONTROLS I","ARI","324K","3","OPEN","true","In Person","[{""fullName"":""PYREK, ADAM ALEKSANDER"",""firstName"":""ADAM"",""lastName"":""PYREK"",""middleInitial"":""ALEKSANDER""},{""fullName"":""SIMON, KEITH"",""firstName"":""KEITH"",""lastName"":""SIMON""}]","[{""days"":""TTH"",""hours"":""3:30 p.m.-5:00 p.m."",""location"":""GOL 3.120""},{""days"":""F"",""hours"":""9:00 a.m.-12:00 p.m."",""location"":""SUT 2.112""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00380/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"385","ARI 324K ENVIRONMENTAL CONTROLS I","ENVIRONMENTAL CONTROLS I","ARI","324K","3","CLOSED","false","In Person","[{""fullName"":""PYREK, ADAM ALEKSANDER"",""firstName"":""ADAM"",""lastName"":""PYREK"",""middleInitial"":""ALEKSANDER""},{""fullName"":""SIMON, KEITH"",""firstName"":""KEITH"",""lastName"":""SIMON""}]","[{""days"":""TTH"",""hours"":""3:30 p.m.-5:00 p.m."",""location"":""GOL 3.120""},{""days"":""W"",""hours"":""6:00 p.m.-9:00 p.m."",""location"":""SUT 2.112""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00385/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"390","ARI 130 INTERIOR DESIGN INTERNSHIP","INTERIOR DESIGN INTERNSHIP","ARI","130","1","OPEN","true","In Person","[]","[]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00390/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"395","ARI 530K DESIGN V-INTERIORS","DESIGN V-INTERIORS","ARI","530K","5","OPEN","true","In Person","[{""fullName"":""BRAVO, RIA"",""firstName"":""RIA"",""lastName"":""BRAVO""}]","[{""days"":""MWF"",""hours"":""1:30 p.m.-5:30 p.m."",""location"":""GOL 3.112""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00395/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"400","ARI 434J CONSTRUCTION I","CONSTRUCTION I","ARI","434J","4","OPEN","true","In Person","[{""fullName"":""GASKINS, ALLISON H"",""firstName"":""ALLISON"",""lastName"":""GASKINS"",""middleInitial"":""H""}]","[{""days"":""T"",""hours"":""5:00 p.m.-6:30 p.m."",""location"":""SUT 2.114""},{""days"":""F"",""hours"":""9:00 a.m.-12:00 p.m."",""location"":""WMB 5.114""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00400/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"405","ARI 338 DESIGNING FOR HUMAN BEHAVIOR","DESIGNING FOR HUMAN BEHAVIOR","ARI","338","3","OPEN","true","In Person","[{""fullName"":""GASKINS, ALLISON H"",""firstName"":""ALLISON"",""lastName"":""GASKINS"",""middleInitial"":""H""}]","[{""days"":""TH"",""hours"":""12:30 p.m.-3:30 p.m."",""location"":""GOL 2.110""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00405/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"409","ARI 350R ARCHITECTURE COMPUTATION","ARCHITECTURE COMPUTATION","ARI","350R","3","CANCELLED","false","In Person","[{""fullName"":""KOEHLER, DANIEL"",""firstName"":""DANIEL"",""lastName"":""KOEHLER""}]","[{""days"":""F"",""hours"":""9:00 a.m.-12:00 p.m."",""location"":""WMB 5.102""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00409/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
"410","ARI 350R BUILDING MATTERS","BUILDING MATTERS","ARI","350R","3","CLOSED","false","In Person","[{""fullName"":""ALTER, KEVIN S"",""firstName"":""KEVIN"",""lastName"":""ALTER"",""middleInitial"":""S""}]","[{""days"":""TH"",""hours"":""2:00 p.m.-5:00 p.m."",""location"":""WMB 6.126""}]","[]","[]","https://utdirect.utexas.edu/apps/registrar/course_schedule/20259/00410/","undefined","[]","{""year"":2025,""season"":""Fall"",""code"":""20259""}","1768967217265"
